sec;sdate;NAV BK DB
IXISR;2019-02-18;397,8218
IXISR;2019-02-19;396,1745
IXISR;2019-02-20;397,0307
IXISR;2019-02-21;398,8675
IXISR;2019-02-22;396,2214
IXISR;2019-02-25;398,2576
IXISR;2019-02-26;400,0561
IXISR;2019-02-27;397,4895
IXISR;2019-02-28;390,7439
IXISR;2019-03-01;393,4721
IXISR;2019-03-04;392,4332
IXISR;2019-03-05;389,3628
IXISR;2019-03-06;390,5039
IXISR;2019-03-08;384,5793
IXISR;2019-03-11;385,1588
IXISR;2019-03-12;384,8901
IXISR;2019-03-13;385,4136
IXISR;2019-03-14;388,5338
IXISR;2019-03-15;392,503
IXISR;2019-03-18;397,1102
IXISR;2019-03-19;396,4914
IXISR;2019-03-20;397,0386
IXISR;2019-03-21;397,8649
IXISR;2019-03-22;399,6178
IXISR;2019-03-25;391,6922
IXISR;2019-03-26;396,2457
IXISR;2019-03-27;394,7432
IXISR;2019-03-28;399,1521
IXISR;2019-03-29;401,7441
IXISR;2019-04-01;400,0573
IXISR;2019-04-02;401,9384
IXISR;2019-04-04;407,8399
IXISR;2019-04-05;406,6809
IXISR;2019-04-08;405,1683
IXISR;2019-04-09;408,8489
IXISR;2019-04-10;408,6574
IXISR;2019-04-11;403,0364
IXISR;2019-04-12;402,5657
IXISR;2019-04-15;403,7139
IXISR;2019-04-16;407,2987
IXISR;2019-04-18;411,8941
IXISR;2019-04-22;406,2468
IXISR;2019-04-23;410,0444
IXISR;2019-04-24;408,9287
IXISR;2019-04-25;403,6042
IXISR;2019-04-26;406,5428
IXISR;2019-04-29;406,7985
IXISR;2019-04-30;408,0331
IXISR;2019-05-02;402,4578
IXISR;2019-05-03;398,5141
IXISR;2019-05-06;392,6739
IXISR;2019-05-07;396,8486
IXISR;2019-05-08;394,6913
IXISR;2019-05-09;385,8718
IXISR;2019-05-10;386,6335
IXISR;2019-05-13;382,8262
IXISR;2019-05-14;378,9084
IXISR;2019-05-15;372,1439
IXISR;2019-05-16;365,458
IXISR;2019-05-17;359,1677
IXISR;2019-05-20;367,1056
IXISR;2019-05-21;369,6432
IXISR;2019-05-22;368,6792
IXISR;2019-05-23;378,1821
IXISR;2019-05-24;382,1951
IXISR;2019-05-27;387,1845
IXISR;2019-05-28;379,4197
IXISR;2019-05-29;385,6327
IXISR;2019-05-31;395,9243
IXISR;2019-06-10;405,3968
IXISR;2019-06-11;404,9011
IXISR;2019-06-12;403,8159
IXISR;2019-06-13;403,3975
IXISR;2019-06-14;403,1555
IXISR;2019-06-17;400,0158
IXISR;2019-06-18;406,4018
IXISR;2019-06-19;412,1219
IXISR;2019-06-20;411,1162
IXISR;2019-06-21;409,8087
IXISR;2019-06-24;407,1924
IXISR;2019-06-25;408,9254
IXISR;2019-06-26;407,5937
IXISR;2019-06-27;411,7383
IXISR;2019-06-28;414,3285
IXISR;2019-07-01;417,2544
IXISR;2019-07-02;417,3775
IXISR;2019-07-03;416,2001
IXISR;2019-07-04;415,7261
IXISR;2019-07-05;413,7568
IXISR;2019-07-08;411,638
IXISR;2019-07-09;415,5003
IXISR;2019-07-10;417,5016
IXISR;2019-07-11;418,6171
IXISR;2019-07-12;416,2718
IXISR;2019-07-15;420,7432
IXISR;2019-07-16;419,504
IXISR;2019-07-17;418,328
IXISR;2019-07-18;417,0666
IXISR;2019-07-19;418,6896
IXISR;2019-07-22;418,0619
IXISR;2019-07-23;416,5738
IXISR;2019-07-24;414,5275
IXISR;2019-07-25;415,9923
IXISR;2019-07-26;411,2278
IXISR;2019-07-29;411,2592
IXISR;2019-07-30;415,0822
IXISR;2019-07-31;414,2051
IXISR;2019-08-01;413,2956
IXISR;2019-08-02;410,6665
IXISR;2019-08-05;397,8037
IXISR;2019-08-06;391,719
IXISR;2019-08-07;398,4412
IXISR;2019-08-08;402,631
IXISR;2019-08-09;403,1647
IXISR;2019-08-12;401,3362
IXISR;2019-08-13;398,4392
IXISR;2019-08-14;402,5994
IXISR;2019-08-15;399,4737
IXISR;2019-08-16;397,6582
IXISR;2019-08-19;398,5821
IXISR;2019-08-20;398,5912
IXISR;2019-08-21;394,3947
IXISR;2019-08-22;395,9509
IXISR;2019-08-23;397,2192
IXISR;2019-08-26;395,1987
IXISR;2019-08-27;399,3751
IXISR;2019-08-28;399,2809
IXISR;2019-08-29;399,4419
IXISR;2019-08-30;406,7929
IXISR;2019-09-02;401,6215
IXISR;2019-09-03;397,5785
IXISR;2019-09-04;396,6706
IXISR;2019-09-05;400,7639
IXISR;2019-09-06;400,1949
IXISR;2019-09-09;400,0756
IXISR;2019-09-10;401,2611
IXISR;2019-09-11;403,8837
IXISR;2019-09-12;400,0629
IXISR;2019-09-13;401,1908
IXISR;2019-09-16;398,866
IXISR;2019-09-17;399,9425
IXISR;2019-09-18;402,3702
IXISR;2019-09-19;399,0124
IXISR;2019-09-20;397,7526
IXISR;2019-09-23;398,2872
IXISR;2019-09-24;393,2673
IXISR;2019-09-25;392,4913
IXISR;2019-09-26;400,1411
IXISR;2019-09-27;397,7095
IXISR;2019-09-30;395,4999
IXISR;2019-10-01;391,8391
IXISR;2019-10-02;384,5351
IXISR;2019-10-03;381,3145
IXISR;2019-10-04;384,041
IXISR;2019-10-07;379,6469
IXISR;2019-10-08;382,6966
IXISR;2019-10-09;381,3265
IXISR;2019-10-10;380,9471
IXISR;2019-10-11;385,4245
IXISR;2019-10-14;387,5609
IXISR;2019-10-15;388,1252
IXISR;2019-10-16;390,4292
IXISR;2019-10-17;391,2811
IXISR;2019-10-18;393,5473
IXISR;2019-10-21;393,8527
IXISR;2019-10-22;396,636
IXISR;2019-10-23;400,2787
IXISR;2019-10-24;406,7712
IXISR;2019-10-25;399,2902
IXISR;2019-10-28;400,1904
IXISR;2019-10-29;402,488
IXISR;2019-10-30;402,8503
IXISR;2019-10-31;398,4306
IXISR;2019-11-01;396,1561
IXISR;2019-11-05;403,5065
IXISR;2019-11-06;396,711
IXISR;2019-11-07;392,5699
IXISR;2019-11-08;393,3885
IXISR;2019-11-11;393,0252
IXISR;2019-11-12;394,0643
IXISR;2019-11-13;390,1573
IXISR;2019-11-14;387,3586
IXISR;2019-11-15;390,6486
IXISR;2019-11-18;390,2737
IXISR;2019-11-19;394,9356
IXISR;2019-11-20;396,1932
IXISR;2019-11-21;394,1727
IXISR;2019-11-22;393,8623
IXISR;2019-11-25;388,8629
IXISR;2019-11-26;386,242
IXISR;2019-11-27;386,1616
IXISR;2019-11-28;381,4332
IXISR;2019-11-29;385,9942
IXISR;2019-12-02;394,0697
IXISR;2019-12-03;392,3531
IXISR;2019-12-04;390,6979
IXISR;2019-12-05;395,0562
IXISR;2019-12-06;397,2302
IXISR;2019-12-09;397,1599
IXISR;2019-12-10;396,2125
IXISR;2019-12-11;395,6388
IXISR;2019-12-12;392,6368
IXISR;2019-12-13;397,4236
IXISR;2019-12-16;398,5855
IXISR;2019-12-17;401,5308
IXISR;2019-12-18;407,111
IXISR;2019-12-19;402,7843
IXISR;2019-12-20;406,6219
IXISR;2019-12-23;408,2105
IXISR;2019-12-26;408,7841
IXISR;2019-12-27;409,9021
IXISR;2019-12-30;407,0104
IXISR;2020-01-02;407,2068
IXISR;2020-01-03;410,7593
IXISR;2020-01-06;406,0422
IXISR;2020-01-07;405,9998
IXISR;2020-01-08;402,3067
IXISR;2020-01-09;407,05
IXISR;2020-01-10;407,0839
IXISR;2020-01-13;411,0348
IXISR;2020-01-14;414,5144
IXISR;2020-01-15;411,2878
IXISR;2020-01-16;410,7722
IXISR;2020-01-17;412,3175
