sec;sdate;NAV BK DB
IXIIT;2022-08-24;592,2137
IXIIT;2022-08-25;589,1117
IXIIT;2022-08-26;584,464
IXIIT;2022-08-29;585,9097
IXIIT;2022-08-30;588,9049
IXIIT;2022-08-31;588,9139
IXIIT;2022-09-01;586,6695
IXIIT;2022-09-02;588,6926
IXIIT;2022-09-05;594,5045
IXIIT;2022-09-06;593,2595
IXIIT;2022-09-07;588,8315
IXIIT;2022-09-08;593,1946
IXIIT;2022-09-09;595,0945
IXIIT;2022-09-12;595,4381
IXIIT;2022-09-13;601,4553
IXIIT;2022-09-14;597,2788
IXIIT;2022-09-15;600,2867
IXIIT;2022-09-16;585,5667
IXIIT;2022-09-19;590,7951
IXIIT;2022-09-20;592,3826
IXIIT;2022-09-21;592,4298
IXIIT;2022-09-22;594,8851
IXIIT;2022-09-23;589,9022
IXIIT;2022-09-26;587,4901
IXIIT;2022-09-27;585,4386
IXIIT;2022-09-28;583,5477
IXIIT;2022-09-29;581,1285
IXIIT;2022-09-30;582,5268
IXIIT;2022-10-03;579,8142
IXIIT;2022-10-04;584,3437
IXIIT;2022-10-05;582,8285
IXIIT;2022-10-06;582,3372
IXIIT;2022-10-07;575,8864
IXIIT;2022-10-10;573,959
IXIIT;2022-10-11;569,19
IXIIT;2022-10-12;567,6786
IXIIT;2022-10-13;563,6042
IXIIT;2022-10-14;556,7798
IXIIT;2022-10-17;560,3738
IXIIT;2022-10-18;558,1241
IXIIT;2022-10-19;560,4179
IXIIT;2022-10-20;572,1705
IXIIT;2022-10-21;576,2716
IXIIT;2022-10-24;580,0695
IXIIT;2022-10-25;579,5812
IXIIT;2022-10-26;578,3184
IXIIT;2022-10-27;582,6851
IXIIT;2022-10-28;580,9384
IXIIT;2022-10-31;583,4104
IXIIT;2022-11-01;579,5018
IXIIT;2022-11-02;574,9678
IXIIT;2022-11-03;576,1107
IXIIT;2022-11-04;578,6899
IXIIT;2022-11-07;584,6336
IXIIT;2022-11-08;578,5979
IXIIT;2022-11-09;580,504
IXIIT;2022-11-10;570,6045
IXIIT;2022-11-11;583,139
IXIIT;2022-11-14;575,3326
IXIIT;2022-11-15;576,8774
IXIIT;2022-11-16;574,2231
IXIIT;2022-11-17;576,8051
IXIIT;2022-11-18;579,3048
IXIIT;2022-11-21;576,2956
IXIIT;2022-11-22;573,1447
IXIIT;2022-11-23;565,5492
IXIIT;2022-11-24;568,6779
IXIIT;2022-11-25;567,6482
IXIIT;2022-11-28;564,3346
IXIIT;2022-11-29;563,6821
IXIIT;2022-11-30;570,4709
IXIIT;2022-12-01;564,2135
